index,path,cat,cat_num
0,./Dataset/ELAR/features/mobilenet_temp/train/1/AAM2A1c2b29280_Arrive,1,1
1,./Dataset/ELAR/features/mobilenet_temp/train/1/AAM2A1c2b33040_Arrive,1,1
2,./Dataset/ELAR/features/mobilenet_temp/train/1/AAM2A1c2b67740_Arrive,1,1
3,./Dataset/ELAR/features/mobilenet_temp/train/1/AAPB1c2b225864_Arrive,1,1
4,./Dataset/ELAR/features/mobilenet_temp/train/1/AASB1c2a34860_Arrive,1,1
5,./Dataset/ELAR/features/mobilenet_temp/train/1/AFLA1c2b16952_Arrive,1,1
6,./Dataset/ELAR/features/mobilenet_temp/train/1/AFLA1c2b20752_Arrive,1,1
7,./Dataset/ELAR/features/mobilenet_temp/train/1/AFLA1c2b23532_Arrive,1,1
8,./Dataset/ELAR/features/mobilenet_temp/train/1/AFLA1c2b34261_Arrive,1,1
9,./Dataset/ELAR/features/mobilenet_temp/train/1/AFLA1c2b66854_Arrive,1,1
10,./Dataset/ELAR/features/mobilenet_temp/train/1/AFLA1c2b70724_Arrive,1,1
11,./Dataset/ELAR/features/mobilenet_temp/train/1/AFLA1c2b72524_Arrive,1,1
12,./Dataset/ELAR/features/mobilenet_temp/train/1/AFLA2c6ii23130_Arrive,1,1
13,./Dataset/ELAR/features/mobilenet_temp/train/1/AMW1B1c2b11410_Arrive,1,1
14,./Dataset/ELAR/features/mobilenet_temp/train/1/AMW1B2c6iii33200_Arrive,1,1
15,./Dataset/ELAR/features/mobilenet_temp/train/1/AMW2A1c2b118962_Arrive,1,1
16,./Dataset/ELAR/features/mobilenet_temp/train/1/AMW2A1c2b83370_Arrive,1,1
17,./Dataset/ELAR/features/mobilenet_temp/train/1/AMW2A1c2b91830_Arrive,1,1
18,./Dataset/ELAR/features/mobilenet_temp/train/1/AMW2A1c2b98690_Arrive,1,1
19,./Dataset/ELAR/features/mobilenet_temp/train/1/BKPA1c2b22310_Arrive,1,1
20,./Dataset/ELAR/features/mobilenet_temp/train/1/BKPA1c2b68630_Arrive,1,1
21,./Dataset/ELAR/features/mobilenet_temp/train/1/BKPA1c2b70590_Arrive,1,1
22,./Dataset/ELAR/features/mobilenet_temp/train/1/BKPA1c2b7330_Arrive,1,1
23,./Dataset/ELAR/features/mobilenet_temp/train/1/BKPA1c2b80080_Arrive,1,1
24,./Dataset/ELAR/features/mobilenet_temp/train/1/BMKB2c7a26460_Arrive,1,1
25,./Dataset/ELAR/features/mobilenet_temp/train/1/MAHB1c2b13950_Arrive,1,1
26,./Dataset/ELAR/features/mobilenet_temp/train/1/MAHB1c2b39660_Arrive,1,1
27,./Dataset/ELAR/features/mobilenet_temp/train/1/MAHB1c2b78751_Arrive,1,1
28,./Dataset/ELAR/features/mobilenet_temp/train/1/MBCB1C2a43437_Arrive,1,1
29,./Dataset/ELAR/features/mobilenet_temp/train/1/MCDB2c6iii36510_Arrive,1,1
30,./Dataset/ELAR/features/mobilenet_temp/train/1/MDBB1c2b57965_Arrive,1,1
31,./Dataset/ELAR/features/mobilenet_temp/train/1/MGCA1c2b29010_Arrive,1,1
32,./Dataset/ELAR/features/mobilenet_temp/train/1/MGCA1c2b31165_Arrive,1,1
33,./Dataset/ELAR/features/mobilenet_temp/train/1/MSLB1c2b15906_Arrive,1,1
34,./Dataset/ELAR/features/mobilenet_temp/train/1/MSLB1c2b23862_Arrive,1,1
35,./Dataset/ELAR/features/mobilenet_temp/train/1/MSLB1c2b28679_Arrive,1,1
36,./Dataset/ELAR/features/mobilenet_temp/train/1/MSLB1c2b31639_Arrive,1,1
37,./Dataset/ELAR/features/mobilenet_temp/train/1/PCHA1c2b30455_Arrive,1,1
38,./Dataset/ELAR/features/mobilenet_temp/train/1/PCNB1c2b132512_Arrive,1,1
39,./Dataset/ELAR/features/mobilenet_temp/train/1/PCNB1c2b14500_Arrive,1,1
